section,size,addr,symbol,file,kind,classification
.time_critical.vga_get_graphics_mode,216,0x2000b9b8,vga_get_graphics_mode,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_line_offset,8,0x2000ba90,vga_get_line_offset,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_in_retrace,12,0x2000ba98,vga_in_retrace,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_cursor_blink_phase,40,0x2000baa4,vga_get_cursor_blink_phase,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_char_height,20,0x2000bacc,vga_get_char_height,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_font_ptr,44,0x2000bae0,vga_get_font_ptr,vga.c.obj,RAM-code(TC),runtime
.time_critical.mask16,64,0x2000bb0c,mask16,vga.c.obj,RAM-code(TC),runtime
.time_critical.gr_mask,16,0x2000bb4c,gr_mask,vga.c.obj,RAM-code(TC),runtime
.time_critical.sr_mask,8,0x2000bb5c,sr_mask,vga.c.obj,RAM-code(TC),runtime
.time_critical.fdc_tick,40,0x2000bb64,fdc_tick,fdd.c.obj,RAM-code(TC),runtime
.time_critical.cmos_update_irq,120,0x2000bb90,cmos_update_irq,misc.c.obj,RAM-code(TC),runtime
.time_critical.adlib_getsample,84,0x2000bc08,adlib_getsample,adlib.c.obj,RAM-code(TC),runtime
.time_critical.adlib_core0,68,0x2000bc5c,adlib_core0,adlib.c.obj,RAM-code(TC),runtime
.time_critical.sb16_getsample,340,0x2000bca0,sb16_getsample,sb16.c.obj,RAM-code(TC),runtime
.time_critical.pcspk_sample,108,0x2000bdf4,pcspk_sample,pcspk.c.obj,RAM-code(TC),runtime
.time_critical.sn76489_sample,420,0x2000be60,sn76489_sample,sn76489.c.obj,RAM-code(TC),runtime
.time_critical.dss_sample,68,0x2000c004,dss_sample,dss.c.obj,RAM-code(TC),runtime
.time_critical.mutex_enter_blocking,128,0x2000c048,mutex_enter_blocking,mutex.c.obj,RAM-code(TC),runtime
.time_critical.mutex_enter_block_until,108,0x2000c0c8,mutex_enter_block_until,mutex.c.obj,RAM-code(TC),runtime
.time_critical.mutex_try_enter_block_until,104,0x2000c134,mutex_try_enter_block_until,mutex.c.obj,RAM-code(TC),runtime
.time_critical.mutex_enter_timeout_ms,56,0x2000c19c,mutex_enter_timeout_ms,mutex.c.obj,RAM-code(TC),runtime
.time_critical.mutex_exit,60,0x2000c1d4,mutex_exit,mutex.c.obj,RAM-code(TC),runtime
.time_critical.usbmsc_device_task,12,0x2000c210,usbmsc_device_task,usbmsc_device.c.obj,RAM-code(TC),runtime
.time_critical.hw_xfer_complete,56,0x2000c21c,hw_xfer_complete,hcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical.hw_trans_complete,32,0x2000c254,hw_trans_complete,hcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical._handle_buff_status_bit,36,0x2000c274,_handle_buff_status_bit,hcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical.hw_handle_buff_status,124,0x2000c298,hw_handle_buff_status,hcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical.hcd_rp2040_irq,396,0x2000c314,hcd_rp2040_irq,hcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical.prepare_ep_buffer,192,0x2000c4a0,prepare_ep_buffer,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical.sync_ep_buffer,180,0x2000c560,sync_ep_buffer,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical._hw_endpoint_xfer_sync,44,0x2000c614,_hw_endpoint_xfer_sync,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical.e15_is_bulkin_ep,40,0x2000c640,e15_is_bulkin_ep,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical.e15_is_critical_frame_period,40,0x2000c668,e15_is_critical_frame_period,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical.hw_endpoint_reset_transfer,12,0x2000c690,hw_endpoint_reset_transfer,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical._hw_endpoint_buffer_control_update32,68,0x2000c69c,_hw_endpoint_buffer_control_update32,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical.hw_endpoint_start_next_buffer,100,0x2000c6e0,hw_endpoint_start_next_buffer,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical.hw_endpoint_xfer_continue,60,0x2000c744,hw_endpoint_xfer_continue,rp2040_usb.c.obj,RAM-code(TC),runtime
.time_critical.tinyusb,144,0x2000c780,tinyusb,usbh.c.obj,RAM-code(TC),runtime
.time_critical.reset_non_control_endpoints,100,0x2000c810,reset_non_control_endpoints,dcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical.hw_handle_buff_status,144,0x2000c874,hw_handle_buff_status,dcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical.dcd_rp2040_irq,1328,0x2000c904,dcd_rp2040_irq,dcd_rp2040.c.obj,RAM-code(TC),runtime
.time_critical.tinyusb,536,0x2000ce34,tinyusb,usbd.c.obj,RAM-code(TC),runtime
.time_critical.pio_spi_write8_blocking,112,0x2000d04c,pio_spi_write8_blocking,libsdcard.a(pio_spi.c.obj),RAM-code(TC),runtime
.time_critical.pio_spi_write8_read8_blocking,132,0x2000d0bc,pio_spi_write8_read8_blocking,libsdcard.a(pio_spi.c.obj),RAM-code(TC),runtime
.time_critical.pio_spi_repeat8_read8_blocking,128,0x2000d140,pio_spi_repeat8_read8_blocking,libsdcard.a(pio_spi.c.obj),RAM-code(TC),runtime
.time_critical.psram_init_with_freq,284,0x2000d1c0,psram_init_with_freq,libpsram.a(psram_init.c.obj),RAM-code(TC),init-only (MUST stay in RAM: reconfigs flash/clock/psram)
